ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel,Vent Type,Storage Volume (gallons),Tank Height (inches),Height to Vent (inches),Tank Diameter (inches),Vent Size (inches),Vent Size 2 (inches),Input (kW),Volts,Electric Usage at 125°F outlet temp (kWh/yr),Input Rate (BTU/hr),Uniform Energy Factor (UEF),Therms Per Year at 125°F outlet temp,Gallons/year at 125°F outlet temp for Propane,First Hour Rating at 125°F outlet temp (gallons/hr),Maximum Gallons Per Minute over 67°F rise,Minimum Gallons Per Minute over 67°F rise,Recovery Efficiency per UEF test method (%),Solar System Type,Solar Collector Type,Solar Collector Panel Area (sq feet),Solar Energy Factor (SEF),Freeze Tolerance Limit (F),Solar Tank Volume (gallons),Solar Type of Backup,Solar Auxiliary Tank Volume (gallons),Solar Auxiliary Tank Input (kW),Solar Auxiliary Tank Input (BTU/hr),Water Heater Depth (inches),Water Heater Height (inches),Water Heater Width (inches),Date Available On Market,Date Certified,Markets,CB Model Identifier
2240765,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI154 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,39.9,2.1,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI154 - 80_06022015113434_7812221
2240785,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI220 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,50.9,2.3,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI220 - 120_06022015113434_4293418
2240750,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI220 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,50.9,3,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI220 - 80_06022015113434_5702843
2240788,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI240 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,63.8,3.3,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI240 - 120_06022015113434_5165728
2240754,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI240 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,63.8,5.3,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI240 - 80_06022015113434_4476607
2240791,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI244 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,63.7,3,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI244 - 120_06022015113434_9402716
2240758,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI244 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,63.7,4.5,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI244 - 80_06022015113434_2156713
2240795,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI250 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,79.8,5.6,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI250 - 120_06022015113434_5656778
2240762,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI250 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,79.8,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI250 - 80_06022015113434_7934693
2240799,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI254 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,79.9,5.4,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI254 - 120_06022015113434_8223397
2240766,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI254 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,79.9,11.2,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI254 - 80_06022015113434_5422568
2240786,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI320 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,76.4,4.9,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI320 - 120_06022015113434_1967343
2240751,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI320 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,76.4,10.1,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI320 - 80_06022015113434_3822691
2240789,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI340 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,95.7,20,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI340 - 120_06022015113434_5333871
2240755,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI340 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,95.7,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI340 - 80_06022015113434_6097613
2240792,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI344 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,95.6,12.1,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI344 - 120_06022015113434_6588915
2240759,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI344 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,95.6,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI344 - 80_06022015113434_9548887
2240796,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI350 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,119.7,20,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI350 - 120_06022015113434_8355717
2240763,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI350 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,119.7,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI350 - 80_06022015113434_2708849
2240800,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI354 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,119.8,20,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI354 - 120_06022015113434_1806872
2240767,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI354 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,119.8,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI354 - 80_06022015113434_9215423
2240787,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI420 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,101.8,20,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI420 - 120_06022015113434_6195867
2240752,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI420 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,101.8,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI420 - 80_06022015113434_1024247
2240790,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI440 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,127.6,20,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI440 - 120_06022015113434_9889351
2240756,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI440 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,127.6,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI440 - 80_06022015113434_4544044
2240793,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI444 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,127.4,20,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI444 - 120_06022015113434_5022879
2240760,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI444 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,127.4,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI444 - 80_06022015113434_2944360
2240797,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI450 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,159.6,20,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI450 - 120_06022015113434_1936272
2240764,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI450 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,159.7,20.8,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI450 - 80_06022015113434_1269075
2240801,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI454 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,159.7,20,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI454 - 120_06022015113434_4999172
2240768,A.O. Smith Corporation,American Solar,No name found,SSX62 ACI454 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,159.7,20,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSX62 ACI454 - 80_06022015113434_5653269
2240778,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE150 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,39.9,1.8,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE150 - 80_06022015113434_8543365
2240802,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE220 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,50.9,2.1,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE220 - 120_06022015113434_1165469
2240769,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE220 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,50.9,2.2,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE220 - 80_06022015113434_7031131
2240805,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE240 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,63.8,2.8,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE240 - 120_06022015113434_7993604
2240772,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE240 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,63.8,3,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE240 - 80_06022015113434_5174350
2240808,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE244 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,63.7,2.6,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE244 - 120_06022015113434_3359957
2240775,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE244 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,63.7,2.8,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE244 - 80_06022015113434_8913165
2240811,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE250 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,79.8,4.3,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE250 - 120_06022015113434_8151653
2240779,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE250 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,79.8,4.9,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE250 - 80_06022015113434_4181290
2240814,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE254 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,79.9,3.8,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE254 - 120_06022015113434_9132575
2240782,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE254 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,79.9,4.4,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE254 - 80_06022015113434_4501262
2240803,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE320 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,76.4,3.5,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE320 - 120_06022015113434_3860337
2240770,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE320 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,76.4,4.3,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE320 - 80_06022015113434_9474028
2240806,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE340 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,95.7,7.4,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE340 - 120_06022015113434_8648340
2240773,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE340 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,95.7,7.5,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE340 - 80_06022015113434_9883011
2240809,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE344 - 120,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,95.6,6.7,-30,120,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE344 - 120_06022015113434_5563441
2240776,A.O. Smith Corporation,American Solar,No name found,SSY62 ACE344 - 80,,Solar with Electric Backup,Propane,,,,,,,,,,,,,,,,,,,Indirect Forced Circulation,Flat Plate,95.6,6.7,-30,80,Tank,60,,,,,,01/07/2011,05/06/2011,United States,ES_92897_SSY62 ACE344 - 80_06022015113434_6192532
2257892,American Standard Water Heaters,American Standard,Tankless Condensing,TCWH180S-AS,,Gas Tankless,"Propane, Natural Gas",Direct Vent,,,,,3,3,0,,,180000,0.94,,,,5.3,,,,,,,,,,,,,14.8,27.6,17.3,02/04/2016,02/04/2016,"United States, Canada",ES_1081272_TCWH180S-AS_02042016034000_1023962
2257893,American Standard Water Heaters,American Standard,Tankless Condensing,TCWH199S-AS,,Gas Tankless,"Propane, Natural Gas",Direct Vent,,,,,3,3,0,,,199000,0.93,,,,5.7,,,,,,,,,,,,,14.8,27.6,17.3,02/04/2016,02/04/2016,"United States, Canada",ES_1081272_TCWH199S-AS_02042016034440_1023962
2317167,A.O. Smith Corporation,American,Flue Damper,FDG(1 thru 50)250S403NO*** 100,,Gas Storage,Natural Gas,,49,49,56,24,3,,,,,40000,0.69,224,,78,,,79,,,,,,,,,,,,,,03/19/2013,05/14/2018,"United States, Canada",ES_92897_FDG(1 thru 50)250S403NO*** 100_04042018192313_2578660
2318082,A.O. Smith Corporation,American,HE Flue Damper,FDG6240S403N,,Gas Storage,Natural Gas,,38,49,55,22,3,4,,,,40000,0.65,224,,70,,,74,,,,,,,,,,,,,,05/08/2011,12/11/2018,United States,ES_92897_FDG6240S403N_04092018202655_6569678
2326197,A.O. Smith Corporation,American,HE Flue Damper,FDG6240S403NVR 100,,Gas Storage,Natural Gas,,38,48,52,22,3,4,,,,40000,0.66,224,,65,,,77,,,,,,,,,,,,,,05/31/2018,12/13/2018,United States,ES_92897_FDG6240S403NVR 100_09202018164204_0353530
2326199,A.O. Smith Corporation,American,HE Flue Damper,FDG6240S403PVR 101,,Gas Storage,Propane,,38,48,52,22,3,4,,,,36000,0.66,245,268.0525164114,65,,,77,,,,,,,,,,,,,,05/31/2018,12/13/2018,United States,ES_92897_FDG6240S403PVR 101_09202018164209_0714168
2326201,A.O. Smith Corporation,American,HE Flue Damper,FDG6240T403NVR 100,,Gas Storage,Natural Gas,,38,58,62,20,3,4,,,,40000,0.64,224,,70,,,73,,,,,,,,,,,,,,05/31/2018,02/13/2019,United States,ES_92897_FDG6240T403NVR 100_09202018164351_2615813
2326204,A.O. Smith Corporation,American,HE Flue Damper,FDG6240T403PVR 101,,Gas Storage,Propane,,38,58,62,20,3,4,,,,36000,0.64,245,268.0525164114,70,,,73,,,,,,,,,,,,,,05/31/2018,02/13/2019,United States,ES_92897_FDG6240T403PVR 101_09202018164359_8767518
2326205,A.O. Smith Corporation,American,HE Flue Damper,FDG6250T403NVR 100,,Gas Storage,Natural Gas,,48,57,61,22,3,4,,,,40000,0.69,224,,84,,,80,,,,,,,,,,,,,,05/31/2018,12/11/2018,United States,ES_92897_FDG6250T403NVR 100_09202018164402_6684375
2326208,A.O. Smith Corporation,American,HE Flue Damper,FDG6250T403PVR 101,,Gas Storage,Propane,,48,57,61,22,3,4,,,,37000,0.69,245,268.0525164114,84,,,80,,,,,,,,,,,,,,05/31/2018,12/11/2018,United States,ES_92897_FDG6250T403PVR 101_09202018164409_4679244
2317909,A.O. Smith Corporation,American,GT 140NEH 100,GT 140NEH 100,,Gas Tankless,Natural Gas,,1,,,,0,,,,,120000,0.91,161,,,3.5,3.5,96,,,,,,,,,,,9,22,14,04/01/2014,05/14/2018,United States,ES_92897_GT 140NEH 100_04092018194656_2190607
2318154,A.O. Smith Corporation,American,GT 140NIH 100,GT 140NIH 100,,Gas Tankless,Natural Gas,,1,,,,3,4,,,,120000,0.9,161,,,3.3,3.3,94,,,,,,,,,,,9,22,14,04/01/2014,05/14/2018,United States,ES_92897_GT 140NIH 100_04092018205955_7135100
2317913,A.O. Smith Corporation,American,GT 140PEH 101,GT 140PEH 101,,Gas Tankless,Propane,,1,,,,0,,,,,120000,0.91,175,191.466083151,,3.5,3.5,96,,,,,,,,,,,9,22,14,04/01/2014,05/14/2018,United States,ES_92897_GT 140PEH 101_04092018194706_7292636
2318158,A.O. Smith Corporation,American,GT 140PIH 101,GT 140PIH 101,,Gas Tankless,Propane,,1,,,,3,4,,,,120000,0.9,175,191.466083151,,3.3,3.3,94,,,,,,,,,,,9,22,14,04/01/2014,05/14/2018,United States,ES_92897_GT 140PIH 101_04092018210004_8968407
2317987,A.O. Smith Corporation,American,GT 240NEH 100,GT 240NEH 100,,Gas Tankless,Natural Gas,,1,,,,0,,,,,160000,0.95,159,,,4.7,4.7,96,,,,,,,,,,,11,22,18,08/01/2012,05/14/2018,"United States, Canada",ES_92897_GT 240NEH 100_04092018201438_4206283
2318104,A.O. Smith Corporation,American,GT 240NIH 100,GT 240NIH 100,,Gas Tankless,Natural Gas,,1,,,,3,,,,,160000,0.94,159,,,4.7,4.7,97,,,,,,,,,,,11,22,18,08/01/2012,05/14/2018,"United States, Canada",ES_92897_GT 240NIH 100_04092018202912_2809443
2317989,A.O. Smith Corporation,American,GT 240PEH 101,GT 240PEH 101,,Gas Tankless,Propane,,1,,,,0,,,,,160000,0.95,159,173.9606126915,,4.7,4.7,96,,,,,,,,,,,11,22,18,08/01/2012,05/14/2018,"United States, Canada",ES_92897_GT 240PEH 101_04092018201443_3694086
2318107,A.O. Smith Corporation,American,GT 240PIH 101,GT240PIH 101,,Gas Tankless,Propane,,1,,,,3,,,,,160000,0.94,159,173.9606126915,,4.7,4.7,97,,,,,,,,,,,11,22,18,08/01/2012,05/14/2018,"United States, Canada",ES_92897_GT240PIH 101_04092018202919_3560838
2317953,A.O. Smith Corporation,American,GT 340PIH  101,GT 340NEH 100,,Gas Tankless,Natural Gas,,1,,,,3,,,,,180000,0.94,159,,,5.3,5.3,97,,,,,,,,,,,11,22,18,08/01/2012,05/14/2018,"United States, Canada",ES_92897_GT 340NEH 100_04092018195746_2250183
2317999,A.O. Smith Corporation,American,GT 340NIH  100,GT 340NIH 100,,Gas Tankless,Propane,,1,,,,3,,,,,180000,0.95,159,173.9606126915,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340NIH 100_04092018201526_6753911
2318011,A.O. Smith Corporation,American,GT 340NIH  100,GT 340NIH 100,,Gas Tankless,Propane,,1,,,,3,,,,,180000,0.95,159,173.9606126915,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340NIH 100_04092018201553_4096997
2318023,A.O. Smith Corporation,American,GT 340NIH  100,GT 340NIH 100,,Gas Tankless,Propane,,1,,,,3,,,,,180000,0.95,159,173.9606126915,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340NIH 100_04092018201628_7018615
2318035,A.O. Smith Corporation,American,GT 340NIH  100,GT 340NIH 100,,Gas Tankless,Propane,,1,,,,3,,,,,180000,0.95,159,173.9606126915,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340NIH 100_04092018201654_1030398
2318047,A.O. Smith Corporation,American,GT 340NIH  100,GT 340NIH 100,,Gas Tankless,Propane,,1,,,,3,,,,,180000,0.95,159,173.9606126915,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340NIH 100_04092018201731_9768787
2318059,A.O. Smith Corporation,American,GT 340NIH  100,GT 340NIH 100,,Gas Tankless,Propane,,1,,,,3,,,,,180000,0.95,159,173.9606126915,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340NIH 100_04092018201756_4168787
2318071,A.O. Smith Corporation,American,GT 340NIH  100,GT 340NIH 100,,Gas Tankless,Natural Gas,,1,,,,3,,,,,180000,0.95,159,,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,05/14/2018,"United States, Canada",ES_92897_GT 340NIH 100_04092018201829_1142163
2317952,A.O. Smith Corporation,American,GT 340PEH 101,GT 340PEH 101,,Gas Tankless,Propane,,1,,,,0,,,,,180000,0.94,159,173.9606126915,,5.3,5.3,97,,,,,,,,,,,11,22,18,08/01/2012,05/14/2018,"United States, Canada",ES_92897_GT 340PEH 101_04092018195743_9328007
2318000,A.O. Smith Corporation,American,GT 340NEH 100,GT 340PIH 101,,Gas Tankless,Natural Gas,,1,,,,0,,,,,180000,0.95,159,,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340PIH 101_04092018201528_2751940
2318012,A.O. Smith Corporation,American,GT 340NEH 100,GT 340PIH 101,,Gas Tankless,Natural Gas,,1,,,,0,,,,,180000,0.95,159,,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340PIH 101_04092018201555_2395538
2318024,A.O. Smith Corporation,American,GT 340NEH 100,GT 340PIH 101,,Gas Tankless,Natural Gas,,1,,,,0,,,,,180000,0.95,159,,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340PIH 101_04092018201630_2100382
2318036,A.O. Smith Corporation,American,GT 340NEH 100,GT 340PIH 101,,Gas Tankless,Natural Gas,,1,,,,0,,,,,180000,0.95,159,,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340PIH 101_04092018201657_4171507
2318048,A.O. Smith Corporation,American,GT 340NEH 100,GT 340PIH 101,,Gas Tankless,Natural Gas,,1,,,,0,,,,,180000,0.95,159,,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340PIH 101_04092018201732_9834043
2318060,A.O. Smith Corporation,American,GT 340NEH 100,GT 340PIH 101,,Gas Tankless,Natural Gas,,1,,,,0,,,,,180000,0.95,159,,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,04/09/2018,"United States, Canada",ES_92897_GT 340PIH 101_04092018201759_6230101
2318072,A.O. Smith Corporation,American,GT 340NEH 100,GT 340PIH 101,,Gas Tankless,Propane,,1,,,,0,,,,,180000,0.95,159,173.9606126915,,5.4,5.4,97,,,,,,,,,,,11,22,18,08/01/2012,05/14/2018,"United States, Canada",ES_92897_GT 340PIH 101_04092018201831_4108549
2317963,A.O. Smith Corporation,American,GT 540NEH 100,GT 540NEH 100,,Gas Tankless,Natural Gas,,1,1,1,1,3,,,,,199000,0.95,159,,,5.8,5.8,96,,,,,,,,,,,11,22,18,10/29/2018,12/12/2018,"United States, Canada",ES_92897_GT 540NEH 100_04092018195820_1056686
2317931,A.O. Smith Corporation,American,GT 540NIH  100,GT 540NIH 100,,Gas Tankless,Natural Gas,,1,1,1,1,3,,,,,199000,0.93,159,,,5.8,5.8,96,,,,,,,,,,,11,22,18,10/29/2018,12/12/2018,"United States, Canada",ES_92897_GT 540NIH 100_04092018195513_2282781
2317966,A.O. Smith Corporation,American,GT 540PEH 101,GT 540PEH 101,,Gas Tankless,Propane,,1,,,,0,,,,,199000,0.95,159,173.9606126915,,5.8,5.8,96,,,,,,,,,,,11,22,18,08/01/2012,12/12/2018,"United States, Canada",ES_92897_GT 540PEH 101_04092018195826_8918141
